amenity_name,lat,lng,building,address,postal
537 BEDOK NORTH STREET 3 ,1.33177300757048,103.924236461237,NIL,537 BEDOK NORTH STREET 3 SINGAPORE 460537,460537
9 RAFFLES BOULEVARD ,1.29296504146626,103.859343968909,CITIBANK MILLENIA WALK,CITIBANK MILLENIA WALK,039596
410A SIN MING AVENUE ,1.36321663626182,103.835456921925,NIL,410A SIN MING AVENUE SINGAPORE 571410,571410
475 TAMPINES STREET 44 ,1.36032332368955,103.953125965232,OCBC TAMPINES STREET 44 - FAIRPRICE,OCBC TAMPINES STREET 44 - FAIRPRICE,520475
30 30 PENJURU PLACE,1.31621113527515,103.732527239032,JURONG PENJURU DORMITORY 2,JURONG PENJURU DORMITORY 2,608557
316B ANG MO KIO STREET 31 ,1.36462540270464,103.847677034369,TECK GHEE VISTA,TECK GHEE VISTA,563316
733 HAVELOCK ROAD ,1.28933450823794,103.827590181043,NIL,733 HAVELOCK ROAD SINGAPORE 169651,169651
238 THOMSON ROAD ,1.32021100706836,103.843656761867,DBS NOVENA MRT STATION,DBS NOVENA MRT STATION,307683
1A TUAS AVENUE 2 ,1.32160943931496,103.649583557099,TUAS AVENUE 2 DORMITORY,TUAS AVENUE 2 DORMITORY,639467
78 AIRPORT BOULEVARD ,1.35993782064432,103.990002942162,YOTELAIR SINGAPORE CHANGI AIRPORT,YOTELAIR SINGAPORE CHANGI AIRPORT,819666
2 SELETAR NORTH LINK ,1.41764102542684,103.896348101989,CARNIVAL CINEMAS S11 PUNGGOL,CARNIVAL CINEMAS S11 PUNGGOL,797601
365 SEMBAWANG CRESCENT ,1.44436832551494,103.816263881257,SUN BREEZE,SUN BREEZE,750365
151 LORONG CHUAN ,1.35148585261178,103.861533171041,NTP+,NTP+,556741
348 BEDOK ROAD ,1.33143623119911,103.948260304303,UOB BEDOK ROAD,UOB BEDOK ROAD,469560
258 PASIR RIS STREET 21 ,1.36706634197242,103.964635610477,UOB LOYANG POINT,UOB LOYANG POINT,510258
61 TEBAN GARDENS ROAD ,1.3223749703177,103.738412755847,DBS TEBAN GARDENS,DBS TEBAN GARDENS,600061
1 COVE AVENUE,1.2471504050601,103.839555011268,NIL,1 COVE AVENUE SINGAPORE 098537,098537
40 TUAS VIEW SQUARE ,1.30047659570156,103.628812327397,LANDBASE INDUSTRIAL BUILDING,LANDBASE INDUSTRIAL BUILDING,637779
1 UPPER ALJUNIED LANE ,1.33429242412799,103.878746207181,NIL,1 UPPER ALJUNIED LANE SINGAPORE 360001,360001
3 LORONG LIPUT ,1.31067976097165,103.795260908624,HOLLAND PIAZZA,HOLLAND PIAZZA,277725
284 BUKIT BATOK EAST AVENUE 3 ,1.34669905221409,103.757276700998,NIL,284 BUKIT BATOK EAST AVENUE 3 SINGAPORE 650284,650284
7 WALLICH STREET ,1.27672492702287,103.845155395387,GUOCO TOWER,GUOCO TOWER,078884
345 JURONG EAST STREET 31 ,1.34551210586752,103.73121914575,DBS NTUC JURONG EAST STREET 31/345,DBS NTUC JURONG EAST STREET 31/345,600345
50 JURONG GATEWAY ROAD ,1.33329334473462,103.743278742341,JEM,JEM,608549
638 JURONG WEST STREET 61 ,1.34167331883255,103.697244542805,DBS PIONEER MALL,DBS PIONEER MALL,640638
1 MARITIME SQUARE ,1.26447844519217,103.820315193363,DBS SINGAPORE CRUISE CENTRE,DBS SINGAPORE CRUISE CENTRE,099253
14 TUAS AVENUE 1 ,1.32148166449156,103.660952805443,JTC SPACE @ TUAS,JTC SPACE @ TUAS,639499
77 CIRCUIT ROAD ,1.32863373096632,103.885372610601,DBS NTUC CIRCUIT ROAD,DBS NTUC CIRCUIT ROAD,370077
10 CLAYMORE HILL,1.30834380578061,103.83263001321,THE AMERICAN CLUB,THE AMERICAN CLUB,229573
89 BEDOK NORTH STREET 4 ,1.33233468349262,103.938051284737,NIL,89 BEDOK NORTH STREET 4 SINGAPORE 460089,460089
1 PASIR RIS CLOSE ,1.37912717878008,103.955444758145,COSTA SANDS RESORT (DOWNTOWN EAST),COSTA SANDS RESORT (DOWNTOWN EAST),519599
